excel_row,sku,brand,category,description,cost_usd,reason
499,ES-HTR-IRTWR-6,Episode,Audio,"[ES-HTR-IRTWR-6] Episode Home Theater Reference In-Room Tower Speaker - 6"" | (Each)",1493.34,SKU repetido con datos diferentes
481,ES-RAD-MNT3-PND,Episode,Audio,[ES-RAD-MNT3-PND] Episode Radiance Pendant Mount,71.78,SKU repetido con datos diferentes
482,ES-RAD-MNT3-PND,Episode,Audio,[ES-RAD-MNT3-PND] Episode Radiance Pendant Mount,86.89,SKU repetido con datos diferentes
479,ES-RAD-MNT3-SRF,Episode,Audio,[ES-RAD-MNT3-SRF] Episode Radiance Surface Mount,43.06,SKU repetido con datos diferentes
480,ES-RAD-MNT3-SRF,Episode,Audio,[ES-RAD-MNT3-SRF] Episode Radiance Surface Mount,52.25,SKU repetido con datos diferentes
477,ES-RAD-MNT3-STK,Episode,Audio,[ES-RAD-MNT3-STK] Episode Radiance In-Ground Stake Mount,43.06,SKU repetido con datos diferentes
478,ES-RAD-MNT3-STK,Episode,Audio,[ES-RAD-MNT3-STK] Episode Radiance In-Ground Stake Mount,52.25,SKU repetido con datos diferentes
475,ES-RAD-MNT3-WAL,Episode,Audio,[ES-RAD-MNT3-WAL] Episode Radiance Wall Mount,43.06,SKU repetido con datos diferentes
476,ES-RAD-MNT3-WAL,Episode,Audio,[ES-RAD-MNT3-WAL] Episode Radiance Wall Mount,60.83,SKU repetido con datos diferentes
473,ES-RAD-SPK3,Episode,Audio,[ES-RAD-SPK3] Episode Radiance Outdoor Bollard Speaker,232.07,SKU repetido con datos diferentes
474,ES-RAD-SPK3,Episode,Audio,[ES-RAD-SPK3] Episode Radiance Outdoor Bollard Speaker,286.78,SKU repetido con datos diferentes
471,ES-RAD-SPKBLNK3,Episode,Audio,[ES-RAD-SPKBLNK3] Episode Radiance Speaker Blank,100.49,SKU repetido con datos diferentes
472,ES-RAD-SPKBLNK3,Episode,Audio,[ES-RAD-SPKBLNK3] Episode Radiance Speaker Blank,141.81,SKU repetido con datos diferentes
469,ES-RAD-SUB1,Episode,Audio,[ES-RAD-SUB1] Episode Radiance Subwoofer,794.83,SKU repetido con datos diferentes
470,ES-RAD-SUB1,Episode,Audio,[ES-RAD-SUB1] Episode Radiance Subwoofer,959.15,SKU repetido con datos diferentes
463,ES-ROCK-DVC-6,Episode,Audio,"[ES-ROCK-DVC-6] Episode Rock Series Dual Voice Coil Speaker with 6"" Woofer (Each)",262.65,SKU repetido con datos diferentes
464,ES-ROCK-DVC-6,Episode,Audio,"[ES-ROCK-DVC-6] Episode Rock Series Dual Voice Coil Speaker with 6"" Woofer (Each)",253.08,SKU repetido con datos diferentes
461,ES-ROCK-DVC-8,Episode,Audio,"[ES-ROCK-DVC-8] Episode Rock Series Dual Voice Coil Speaker with 8"" Woofer (Each)",302.38,SKU repetido con datos diferentes
462,ES-ROCK-DVC-8,Episode,Audio,"[ES-ROCK-DVC-8] Episode Rock Series Dual Voice Coil Speaker with 8"" Woofer (Each)",320.71,SKU repetido con datos diferentes
459,ES-ROCK-SUB-8,Episode,Audio,"[ES-ROCK-SUB-8] Episode Rock Series 8"" Subwoofer (Each)",525.37,SKU repetido con datos diferentes
460,ES-ROCK-SUB-8,Episode,Audio,"[ES-ROCK-SUB-8] Episode Rock Series 8"" Subwoofer (Each)",514.9,SKU repetido con datos diferentes
441,ES-SUB-MEGA-D10,Episode,Audio,"[ES-SUB-MEGA-D10] Episode MEGA D-Series Dual Sealed Subwoofer with Amplifier 10""",1516.34,SKU repetido con datos diferentes
442,ES-SUB-MEGA-D10,Episode,Audio,"[ES-SUB-MEGA-D10] Episode MEGA D-Series Dual Sealed Subwoofer with Amplifier 10""",1910.12,SKU repetido con datos diferentes
439,ES-SUB-MEGA-D12,Episode,Audio,"[ES-SUB-MEGA-D12] Episode MEGA D-Series Dual Sealed Subwoofer with Amplifier 12""",1896.48,SKU repetido con datos diferentes
440,ES-SUB-MEGA-D12,Episode,Audio,"[ES-SUB-MEGA-D12] Episode MEGA D-Series Dual Sealed Subwoofer with Amplifier 12""",2862.83,SKU repetido con datos diferentes
437,ES-SUB-MEGA-D8,Episode,Audio,"[ES-SUB-MEGA-D8] Episode MEGA D-Series Dual Sealed Subwoofer with Amplifier 8""",1137.6,SKU repetido con datos diferentes
438,ES-SUB-MEGA-D8,Episode,Audio,"[ES-SUB-MEGA-D8] Episode MEGA D-Series Dual Sealed Subwoofer with Amplifier 8""",1717.45,SKU repetido con datos diferentes
405,ESS-GRL-DSUB8-PCO,Episode,Audio,"[ESS-GRL-DSUB8-PCO] Episode Signature Rectangular Pre-Construction Subwoofer Grille Kit (Each) - Dual 8""",108.79,SKU repetido con datos diferentes
406,ESS-GRL-DSUB8-PCO,Episode,Audio,"[ESS-GRL-DSUB8-PCO] Episode Signature Rectangular Pre-Construction Subwoofer Grille Kit (Each) - Dual 8""",85.82,SKU repetido con datos diferentes
742,LUM-221-NVR-8CH-0T,Luma,Cámaras de seguridad,[LUM-221-NVR-8CH-0T] Luma Surveillance 221 Series NVR - 8 Channels | 0TB,204.97,SKU repetido con datos diferentes
753,LUM-221-NVR-8CH-0T,Luma,Cámaras de seguridad,[LUM-221-NVR-8CH-0T] Luma Surveillance 221 Series NVR - 8 Channels | 0TB,1115.73,SKU repetido con datos diferentes
728,LUM-310-BUL-A,Luma,Cámaras de seguridad,[LUM-310-BUL-A] Luma Surveillance 310 Series Bullet Analog Camera,324.56,SKU repetido con datos diferentes
749,LUM-310-BUL-A,Luma,Cámaras de seguridad,[LUM-310-BUL-A] Luma Surveillance 310 Series Bullet Analog Camera,109.03,SKU repetido con datos diferentes
716,LUM-520-IP-TF,Luma,Cámaras de seguridad,[LUM-520-IP-TF] Luma Surveillance 520 Series 5MP Turret IP Outdoor Camera,267.37,SKU repetido con datos diferentes
719,LUM-520-IP-TF,Luma,Cámaras de seguridad,[LUM-520-IP-TF] Luma Surveillance 520 Series 5MP Turret IP Outdoor Camera,268.77,SKU repetido con datos diferentes
663,LUM-A20-WMB-FX-TD,Luma,Cámaras de seguridad,[LUM-A20-WMB-FX-TD] Luma X20 Wall Mount Bracket For Fixed Dome Turret Extension Junction Box,64.3,SKU repetido con datos diferentes
664,LUM-A20-WMB-FX-TD,Luma,Cámaras de seguridad,[LUM-A20-WMB-FX-TD] Luma X20 Wall Mount Bracket For Fixed Dome Turret Extension Junction Box,67.97,SKU repetido con datos diferentes
656,LUM-A20-WMB-VF-TD,Luma,Cámaras de seguridad,[LUM-A20-WMB-VF-TD] Luma Wall Mount Bracket For Varifocal Dome/Turret Extension Junction Box,64.3,SKU repetido con datos diferentes
657,LUM-A20-WMB-VF-TD,Luma,Cámaras de seguridad,[LUM-A20-WMB-VF-TD] Luma Wall Mount Bracket For Varifocal Dome/Turret Extension Junction Box,64.3,SKU repetido con datos diferentes
687,LUM-A20-WMB-VF-TD,Luma,Cámaras de seguridad,[LUM-A20-WMB-VF-TD] Luma X20 7in Ceiling Extension Mount For Varifocal Dome/Turret Extension Junction Box,54.95,SKU repetido con datos diferentes
688,LUM-A20-WMB-VF-TD,Luma,Cámaras de seguridad,[LUM-A20-WMB-VF-TD] Luma X20 7in Ceiling Extension Mount For Varifocal Dome/Turret Extension Junction Box,54.95,SKU repetido con datos diferentes
647,LUM-MNT-FLUSH-BUL,Luma,Cámaras de seguridad,[LUM-MNT-FLUSH-BUL] Luma Surveillance Bullet Flush Mount,46.83,SKU repetido con datos diferentes
648,LUM-MNT-FLUSH-BUL,Luma,Cámaras de seguridad,[LUM-MNT-FLUSH-BUL] Luma Surveillance Bullet Flush Mount,46.33,SKU repetido con datos diferentes
644,LUM-WMBJB-FX-D,Luma,Cámaras de seguridad,[LUM-WMBJB-FX-D] Luma X20 Wall Mount Bracket with Junction Box for Fixed Lens Dome,101.07,SKU repetido con datos diferentes
645,LUM-WMBJB-FX-D,Luma,Cámaras de seguridad,[LUM-WMBJB-FX-D] Luma X20 Wall Mount Bracket with Junction Box for Fixed Lens Dome,80.85,SKU repetido con datos diferentes
640,LUM-WMBJB-VF-D,Luma,Cámaras de seguridad,[LUM-WMBJB-VF-D] Luma X20 Wall Mount Bracket with Junction Box for Varifocal Dome,101.07,SKU repetido con datos diferentes
641,LUM-WMBJB-VF-D,Luma,Cámaras de seguridad,[LUM-WMBJB-VF-D] Luma X20 Wall Mount Bracket with Junction Box for Varifocal Dome,80.85,SKU repetido con datos diferentes
